C02451V02968,REGION,C02447V03042,SchoolProgramme,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE,NumberOfClasses, NumberOfPupils
1,Carlow,122,Pupils in special national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,24,24,
21,Dublin City,1,All first level school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,2033,2033,
21,Dublin City,1,All first level school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,2052,2052,
21,Dublin City,1,All first level school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,2052,2052,
21,Dublin City,1,All first level school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,2110,2110,
21,Dublin City,1,All first level school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,2127,2127,
21,Dublin City,1,All first level school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,2151,2151,
21,Dublin City,1,All first level school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,2143,2143,
21,Dublin City,1,All first level school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,2212,2212,
21,Dublin City,1,All first level school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,2213,2213,
21,Dublin City,1,All first level school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,2211,2211,
21,Dublin City,1,All first level school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,2192,2192,
21,Dublin City,1,All first level school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,2184,2184,
21,Dublin City,1,All first level school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,2200,2200,
21,Dublin City,1,All first level school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,2219,2219,
21,Dublin City,1,All first level school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,2233,2233,
21,Dublin City,1,All first level school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,2177,2177,
21,Dublin City,1,All first level school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,2190,2190,
21,Dublin City,1,All first level school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,2071,2071,
21,Dublin City,1,All first level school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,2066,2066,
21,Dublin City,1,All first level school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,2107,2107,
21,Dublin City,1,All first level school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,2143,2143,
21,Dublin City,1,All first level school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,2213,2213,
21,Dublin City,1,All first level school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,2239,2239,
21,Dublin City,1,All first level school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,2291,2291,
21,Dublin City,1,All first level school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,2325,2325,
21,Dublin City,1,All first level school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,2322,2322,
21,Dublin City,1,All first level school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,2356,2356,
